manufacturer,url,review,review_struct,valid_struct
tesla,https://www.consumeraffairs.com/automotive/tesla_motors.html?page=4#scroll_to_reviews=true,"Reviewed Oct. 26, 2022
We put a deposit down back in December 2021 for a model Y. It is now end of October and still no vehicle. We keep getting bumped later and later to time windows (now for November 2022). We cannot wait any longer and when I called to request a deposit refund, they say there are no exceptions!!! It's insane. I spoke to 4 reps and a manager and there is no budging on their policy. So I am out a deposit because Tesla didn't deliver anywhere close to their original time estimate. Our estimate was May by the way. I'm shocked that Tesla would rather lose my future business and image of them over $250 deposit. I will not consider a vehicle or speak highly to anyone I know. I think we dodged a bullet though because if this is how they handle situations before I even get the car, I can't imagine how it would be when I have a future issue. The reps didn't apologize whatsoever for the long wait and it disregarded any of my points. Very disappointed!","{'date_of_review': 'Oct. 26, 2022', 'vehicle_model': 'model Y', 'customer_rating': 1, 'review_summary': 'We put a deposit down back in December 2021 for a model Y. It is now end of October and still no vehicle.', 'technical_pros': [], 'other_pros': [], 'technical_issues': [""Tesla didn't deliver anywhere close to their original time estimate""], 'other_issues': ['I will not consider a vehicle or speak highly to anyone I know'], 'service_experience': 'poor', 'overall_experience': 'terrible'}",True
tesla,https://www.consumeraffairs.com/automotive/tesla_motors.html?page=4#scroll_to_reviews=true,"Reviewed Dec. 20, 2019
I ordered a model 3 SR+ from Tesla's existing new inventory, hoping to take delivery before the end of the year. The car had 2100 miles on it which I could see on the website and had an appropriate discount for the mileage. The car arrived and the salesman contacted me to let me know the car was in but also wanted to make sure I knew the car has some miles on it. I said yes, and asked to make sure everything else was fine. He says ""let me check."" He got back to me later that day to let me know that the wheels have some damage on them. I asked if that would be fixed before I take delivery and he tells me no. 
                                        More","{'date_of_review': '2019-12-20', 'vehicle_model': 'model 3 SR+', 'customer_rating': 2, 'review_summary': ""I ordered a model 3 SR+ from Tesla's existing new inventory, hoping to take delivery before the end of the year. The car had 2100 miles on it which I could see on the website and had an appropriate discount for the mileage."", 'technical_pros': [], 'other_pros': ['The salesman contacted me to let me know the car was in'], 'technical_issues': ['Wheels have some damage on them'], 'other_issues': [""Salesman didn't offer to fix the issue before delivery""], 'service_experience': 'average', 'overall_experience': 'poor'}",True
tesla,https://www.trustpilot.com/review/tesla.com?page=3,"Best car i have ever ownedBest car i have ever owned, worst service i have ever experienced. Let this service as a reminder to anyone considering buying a Tesla. The cars are great. The service is terrible. They try to weasel out of every warrenty claim possible and does not do recalls on things that are known to go bad due to poor design.I have gotten so many things changed on this car it's unbelievable but everytime i have to battle with the servicecenter to get it fixed. they force customers to accept a estimate and then say that don't worry you don't have to pay if it turns out it's a warranty claim. I hate to say but luckily my car is soon out of warranty so i don't have to waste anymore time on useless tesla employeesDate of experience: March 06, 2024","{'date_of_review': '2024-03-06', 'vehicle_model': '', 'customer_rating': 1, 'review_summary': 'Best car i have ever owned, worst service i have ever experienced. Let this service as a reminder to anyone considering buying a Tesla.', 'technical_pros': [''], 'other_pros': ['The cars are great.'], 'technical_issues': ['They try to weasel out of every warrenty claim possible and does not do recalls on things that are known to go bad due to poor design.', ""I have gotten so many things changed on this car it's unbelievable but everytime i have to battle with the servicecenter to get it fixed.""], 'other_issues': [""they force customers to accept a estimate and then say that don't worry you don't have to pay if it turns out it's a warranty claim."", ""I hate to say but luckily my car is soon out of warranty so i don't have to waste anymore time on useless tesla employees""], 'service_experience': 'terrible', 'overall_experience': 'terrible'}",True
tesla,https://www.consumeraffairs.com/automotive/tesla_motors.html?page=4#scroll_to_reviews=true,"Reviewed Aug. 15, 2022
Horrible customer service, vehicle quality, roadside assistance response. My Model 3 is 3 months old and it just died… with 100% battery charge. I could not open the car to get my wallet out of it… what if it had been my kid stuck inside? I could not get a hold of an actual human to speak with, only could communicate on their own time through text or the app. Finally, my car was towed 100 miles from my home. No one called me, no mention of a rental. No response in the app. I would not recommend this company to my worst enemy.","{'date_of_review': '2022-08-15', 'vehicle_model': 'Model 3', 'customer_rating': 1, 'review_summary': 'Horrible customer service, vehicle quality, roadside assistance response.', 'technical_pros': [], 'other_pros': [], 'technical_issues': ['The car died with 100% battery charge'], 'other_issues': ['Poor communication', 'No one called me', 'No mention of a rental', 'No response in the app'], 'service_experience': 'terrible', 'overall_experience': 'terrible'}",True
tesla,https://www.consumeraffairs.com/automotive/tesla_motors.html?page=4#scroll_to_reviews=true,"Reviewed March 29, 2022
I bought my 2013 Model S from its 2nd owner at 98k miles after lots of research reaffirming that maintenance cost was low and reliability was high. I actually loved my car, drove smoothly and quietly, but then I didn’t even reached 120k miles on it when the high voltage battery completely died on me. I parked one day at work with 80% charge and got out from work to find the battery completely drained to the point of not even starting or being able to put into neutral to push it to a charging stall. I left the car plugged in using 3 extension cords for the entire weekend (still at my job’s parking lot) and it didn’t take any charge at all and never turned back on again. I towed it to the nearest Tesla service center and after over a week they told me the battery had completely died and it needed full replacement to the tune of $23k (the car’s average value in the best condition possible and long range trim is ~$26k). 
                                        More","{'date_of_review': '2022-03-29', 'vehicle_model': '2013 Model S', 'customer_rating': 1, 'review_summary': 'I loved my car, drove smoothly and quietly, but then the high voltage battery completely died on me.', 'technical_pros': ['Smooth ride', 'Great fuel efficiency'], 'other_pros': [], 'technical_issues': ['High voltage battery died'], 'other_issues': [""Battery didn't take any charge at all and never turned back on again""], 'service_experience': 'poor', 'overall_experience': 'terrible'}",True
tesla,https://www.consumeraffairs.com/automotive/tesla_motors.html?page=1#scroll_to_reviews=true,"Reviewed Feb. 19, 2024
I love our 2023 Model 3, best car I have ever owned, with one exception: My 2017 Mazda 6 and my former Hyundai 2018 Sonata had something that Tesla lacks and has promised for years. THERE IS NO REAR CROSS TRAFFIC ALERT SYSTEM! Despite 10 cameras on all sides and inside the cabin, I cannot rely on a system of alerts for this purpose that I have had on my 7 or 8 year old vehicles and Elon Musk I understand promised several years ago, despite the great ability to send out regular software updates! WHY??
                                        More","{'date_of_review': '2024-02-19', 'vehicle_model': '2023 Model 3', 'customer_rating': 2, 'review_summary': 'I love our 2023 Model 3, best car I have ever owned, with one exception: My 2017 Mazda 6 and my former Hyundai 2018 Sonata had something that Tesla lacks and has promised for years.', 'technical_pros': [], 'other_pros': ['best car I have ever owned'], 'technical_issues': ['NO REAR CROSS TRAFFIC ALERT SYSTEM!'], 'other_issues': ['WHY??'], 'service_experience': 'average', 'overall_experience': 'poor'}",True
tesla,https://www.trustpilot.com/review/tesla.com?page=9,"Think 10 times before buying a TeslaI bought my first Tesla, a supposedly “Tesla Certified Pre-Owned” Model 3, 2021, from the Glasgow branch on 13 March 2024. The person who delivered the car handed over the card keys, showed the extra mats and left. The car wasn’t cleaned properly too. That was awkward, but I also thought it was Tesla’s procedure. However, three days later, everything started to reveal.1) The camera calibration had been recently reset before the delivery. This was presumably done with the knowledge that there were issues with the vehicle, as immediately after the calibration, the safety and autopilot features became unavailable due to defective cameras.2)The left camera was becoming wholly black3)The rear camera was blurry, and there were numerous scratches on the lens.4) Even though the cameras, autopilot, and cruise control features were working occasionally, the car was making dangerous manoeuvres, thereby putting lives in danger.5) The condensation on headlights, rear lights and cameras was significant. (I was informed that the condensation coverage under warranty would not be applied unless it exceeded 50%. This conclusion was reached without physically examining the vehicle, based solely on the photographs provided via service request.)6) After being able to drive the car on the motorway, I realised there was deficient air and soundproofing from the windows. When I checked the windows closer the rubbers on two windows were not fitted.7) Last but not least, I discovered the ugliest truth when I became familiar with the car. There was a phone (also remotely via app), and two more card keys (probably previous owner) had full access to my car all along.None of the conditions were disclosed at the point of sale. I had to drive to Europe on 17 March 2024, which was a long before-planned business and leisure trip. Starting 16 March 2024, including phone calls and visiting the Tesla Centre, Glasgow, UK, the Tesla Centre, Edinburgh, UK and the Tesla Service Centre, Amsterdam, Netherlands, service request chat with Tesla Service Centre, Freiburg, Germany, and via e-mail to Tesla UK, Tesla US and Tesla NL. I couldn’t get any kind of response other than the service request I started. I was rejected to get a service from Tesla Service Centres in Amsterdam, Netherlands and Freiburg, Germany, even though the car was supposed to be under warranty. After days of conversation via service request, I was able to reach out to make a service appointment with the Glasgow Tesla Centre on 3 April 2024. I prepared a document telling of the issues, not being able to contact anyone and any department from Tesla Corporation except the service request. I explicitly requested to return the car and refund as these are significant safety issues. The branch supervisor in Glasgow Tesla Centre admittedly accepted that there was a huge issue and the car shouldn’t have been delivered like that in the first place. However, first, they told me that they could not apply the ‘14-day Return Policy’ (as I could have the chance to come from Europe and they were open during the Easter Holiday) and that the issue could be evaluated under the ‘30-day Rejection’. Then, they agreed to apply a ‘14-day Return Policy’ as this case was exceptional. However, they also wanted to make a deduction for mileage, which I explicitly refused as I have done everything in my power not to escalate this issue to this point. So, on 3 April 2024, I filled out the forms and left the car in the Glasgow Tesla centre. Today, 11 April 2024, I haven’t received any e-mails from Tesla Corporation. More importantly, I am still waiting for the refund. I am not able to buy another car and am still paying more for the rental cars. All in all, think at least ten times before buying a Tesla. You will not find anyone to contact to resolve an issue, and you will be expected to cover everything they caused.Date of experience: March 16, 2024","{'date_of_review': '2024-03-16', 'vehicle_model': 'Tesla Model 3', 'customer_rating': 1, 'review_summary': ""Bought a supposedly 'Tesla Certified Pre-Owned' Model 3, but it had numerous issues including camera calibration reset, defective cameras, condensation on headlights and cameras, deficient air and soundproofing from the windows, and unauthorized access to the car."", 'technical_pros': [], 'other_pros': [], 'technical_issues': ['Camera calibration had been recently reset', 'Left camera was becoming wholly black', 'Rear camera was blurry with numerous scratches on the lens', 'Car was making dangerous manoeuvres, putting lives in danger', 'Condensation on headlights, rear lights and cameras'], 'other_issues': ['Deficient air and soundproofing from the windows', 'Unauthorized access to the car via phone and card keys'], 'service_experience': 'poor', 'overall_experience': 'terrible'}",True
tesla,kaggle dataset,"Reviewed: 0       on 08/30/18 15:36 PM (PDT)
1       on 07/04/18 17:15 PM (PDT)
2       on 06/21/18 05:22 AM (PDT)
3       on 04/07/18 15:01 PM (PDT)
4       on 12/30/17 21:45 PM (PST)
                  ...             
135     on 06/30/13 17:27 PM (PDT)
136     on 06/13/13 20:30 PM (PDT)
137     on 05/20/13 17:43 PM (PDT)
138     on 04/14/13 15:47 PM (PDT)
139     on 03/09/13 15:39 PM (PST)
Name: Review_Date, Length: 140, dtype: object
rating: 0      5.000
1      4.000
2      5.000
3      4.000
4      5.000
       ...  
135    3.375
136    5.000
137    4.625
138    5.000
139    5.000
Name: Rating, Length: 140, dtype: float64
vehicle title: 0      2018 Tesla Model X SUV 75D 4dr SUV AWD (electr...
1      2018 Tesla Model X SUV 100D 4dr SUV AWD (elect...
2      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
3      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
4      2017 Tesla Model X SUV P100D 4dr SUV AWD (elec...
                             ...                        
135    2013 Tesla Model S Sedan Performance 4dr Sedan...
136     2013 Tesla Model S Sedan 4dr Sedan (electric DD)
137    2013 Tesla Model S Sedan Performance 4dr Sedan...
138    2013 Tesla Model S Sedan Performance 4dr Sedan...
139    2013 Tesla Model S Sedan Performance 4dr Sedan...
Name: Vehicle_Title, Length: 140, dtype: object
0      2018 Tesla Model X SUV 75D 4dr SUV AWD (electr...
1      2018 Tesla Model X SUV 100D 4dr SUV AWD (elect...
2      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
3      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
4      2017 Tesla Model X SUV P100D 4dr SUV AWD (elec...
                             ...                        
135    2013 Tesla Model S Sedan Performance 4dr Sedan...
136     2013 Tesla Model S Sedan 4dr Sedan (electric DD)
137    2013 Tesla Model S Sedan Performance 4dr Sedan...
138    2013 Tesla Model S Sedan Performance 4dr Sedan...
139    2013 Tesla Model S Sedan Performance 4dr Sedan...
Name: Vehicle_Title, Length: 140, dtype: object
0       Model X is unique. Either you like be it or h...
1       A lot of the existing reviews online, includi...
2       Like most consumers, I've owned five differen...
3       Owned car for three more months and it had to...
4       In the past 12 years I have owned 18 differen...
                             ...                        
135     my husband accidentally spilled the cooler in...
136     This is an initial quality review as we have ...
137     I have approximately 7000 miles on this signa...
138     I have owned my Model S Performance (P85) for...
139     For over 100 years, cars have improved increm...
Name: Review, Length: 140, dtype: object","Invalid json output: {
    ""name"": ""ReviewStruct"",
    ""arguments"": {
        ""date"": [""08/30/18"", ""07/04/18"", ""06/21/18"", ""04/07/18"", ""12/30/17"", ...],
        ""vehicleModel"": [""2018 Tesla Model X SUV 75D 4dr SUV AWD (electric)"", ""2018 Tesla Model X SUV 100D 4dr SUV AWD (electric)"", ...],
        ""customerRating"": [5.0, 4.0, 5.0, 4.0, 5.0, ...],
        ""reviewSummary"": [""Model X is unique."", ""A lot of the existing reviews online, including..."", ...],
        ""technicalPros"": [], 
        ""otherPros"": [], 
        ""technicalIssues"": [], 
        ""otherIssues"": [], 
        ""serviceExperience"": null,
        ""overallExperience"": null
    }
}",False
tesla,https://www.trustpilot.com/review/tesla.com?page=20,"None existent communicationI have booked my car in for service. I wont go into the frustration of them trying to get me to pre- authorise  payment for  work that should be carried out under warranty (the car is less than a month old). This is about the COMPLETE LACK of communication. The service experience itself is very slick drive in get a text and promise of updates on progress. They have had my car for 8 hours now to do what I would estimate is an hour or 2 tops. no text no mail no details on the app, Web chat worse than useless, no way of contacting them,  All the people at the service centres are very nice and accommodating however centrally they appear to be trying to design a system that ignores the most important aspect of any business - customers. If you are happy to treated like an inconvenience rather than a customer buy a Tesla. If on the other hand you think spending the kind of money you deserve some communication on what is happening then wait for the Polestar 2. It is a real shame the car is very good if only I didn't  have to deal with Tesla's systems.Date of experience: November 05, 2019","{'date_of_review': '2019-11-05', 'vehicle_model': '', 'customer_rating': 'terrible', 'review_summary': 'The service experience itself is very slick drive in get a text and promise of updates on progress. They have had my car for 8 hours now to do what I would estimate is an hour or 2 tops.', 'technical_pros': [], 'other_pros': ['All the people at the service centres are very nice and accommodating'], 'technical_issues': ['COMPLETE LACK of communication'], 'other_issues': ['no text no mail no details on the app, Web chat worse than useless, no way of contacting them'], 'service_experience': 'terrible', 'overall_experience': 'terrible'}",True
tesla,kaggle dataset,"Reviewed: 0       on 08/30/18 15:36 PM (PDT)
1       on 07/04/18 17:15 PM (PDT)
2       on 06/21/18 05:22 AM (PDT)
3       on 04/07/18 15:01 PM (PDT)
4       on 12/30/17 21:45 PM (PST)
                  ...             
135     on 06/30/13 17:27 PM (PDT)
136     on 06/13/13 20:30 PM (PDT)
137     on 05/20/13 17:43 PM (PDT)
138     on 04/14/13 15:47 PM (PDT)
139     on 03/09/13 15:39 PM (PST)
Name: Review_Date, Length: 140, dtype: object
rating: 0      5.000
1      4.000
2      5.000
3      4.000
4      5.000
       ...  
135    3.375
136    5.000
137    4.625
138    5.000
139    5.000
Name: Rating, Length: 140, dtype: float64
vehicle title: 0      2018 Tesla Model X SUV 75D 4dr SUV AWD (electr...
1      2018 Tesla Model X SUV 100D 4dr SUV AWD (elect...
2      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
3      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
4      2017 Tesla Model X SUV P100D 4dr SUV AWD (elec...
                             ...                        
135    2013 Tesla Model S Sedan Performance 4dr Sedan...
136     2013 Tesla Model S Sedan 4dr Sedan (electric DD)
137    2013 Tesla Model S Sedan Performance 4dr Sedan...
138    2013 Tesla Model S Sedan Performance 4dr Sedan...
139    2013 Tesla Model S Sedan Performance 4dr Sedan...
Name: Vehicle_Title, Length: 140, dtype: object
0      2018 Tesla Model X SUV 75D 4dr SUV AWD (electr...
1      2018 Tesla Model X SUV 100D 4dr SUV AWD (elect...
2      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
3      2017 Tesla Model X SUV 100D 4dr SUV AWD (elect...
4      2017 Tesla Model X SUV P100D 4dr SUV AWD (elec...
                             ...                        
135    2013 Tesla Model S Sedan Performance 4dr Sedan...
136     2013 Tesla Model S Sedan 4dr Sedan (electric DD)
137    2013 Tesla Model S Sedan Performance 4dr Sedan...
138    2013 Tesla Model S Sedan Performance 4dr Sedan...
139    2013 Tesla Model S Sedan Performance 4dr Sedan...
Name: Vehicle_Title, Length: 140, dtype: object
0       Model X is unique. Either you like be it or h...
1       A lot of the existing reviews online, includi...
2       Like most consumers, I've owned five differen...
3       Owned car for three more months and it had to...
4       In the past 12 years I have owned 18 differen...
                             ...                        
135     my husband accidentally spilled the cooler in...
136     This is an initial quality review as we have ...
137     I have approximately 7000 miles on this signa...
138     I have owned my Model S Performance (P85) for...
139     For over 100 years, cars have improved increm...
Name: Review, Length: 140, dtype: object","Invalid json output: {
    ""name"": ""ReviewStruct"",
    ""arguments"": {
        ""date"": [""08/30/18"", ""07/04/18"", ""06/21/18"", ""04/07/18"", ""12/30/17"", ...],
        ""vehicleModel"": [""2018 Tesla Model X SUV 75D 4dr SUV AWD (electric)"", ""2018 Tesla Model X SUV 100D 4dr SUV AWD (electric)"", ...],
        ""customerRating"": [5.0, 4.0, 5.0, 4.0, 5.0, ...],
        ""reviewSummary"": [""Model X is unique."", ""A lot of the existing reviews online, including..."", ...],
        ""technicalPros"": [], 
        ""otherPros"": [], 
        ""technicalIssues"": [], 
        ""otherIssues"": [], 
        ""serviceExperience"": null,
        ""overallExperience"": null
    }
}",False
